date,a_pagar_vencido,avg_pagarv,a_pagar_para_liquidar,saldo_final,cuentas_carterav,cuentas_total,pctg_cuentas_carterav,pctg_liquidar_sfinal,pctg_vencido_sfinal,avg_pagosv,median_pagosv,mode_pagosv,sd_pagosv,cv_pagosv,avg_meses_atraso,median_meses_atraso,mode_meses_atraso,sd_meses_atraso,cv_meses_atraso,pagos_cap,avg_pagos_cap,sd_pagos_cap,cv_pagos_cap,pagos_seguro,pagos_capital_seguro,pagos_recibidos,avg_pagos_rec,ministracion,avg_minist,sd_minist,cv_minist,diff_pagosrec_minist
jul-13,13863287.41,36386.58,46013257.92,724822488.07,381.00,4434.00,0.09,0.06,0.02,5.78,2.00,1.00,8.79,152.01,19.97,4.00,1.00,34.76,174.05,8982382.28,2025.80,6579.95,324.81,67073.14,9049455.42,10141966.67,7132.18,1453046.00,327.71,4152.99,1267.29,8688920.67
ago-13,13543466.26,40188.33,42329078.79,734877022.58,337.00,4418.00,0.08,0.06,0.02,6.37,2.00,1.00,9.21,144.44,22.65,5.00,2.00,36.39,160.62,5776179.74,1307.42,8059.47,616.44,35803.69,5811983.43,6615324.79,9099.48,15708526.00,3555.57,17111.66,481.26,-9093201.21
sep-13,13640044.22,39651.29,44171302.80,754357841.17,344.00,4580.00,0.08,0.06,0.02,6.26,2.00,1.00,9.16,146.47,22.32,6.00,1.00,36.39,163.02,8387451.49,1831.32,8521.60,465.33,67592.90,8455044.39,9354551.03,8359.74,27824078.00,6075.13,26887.76,442.59,-18469526.97
oct-13,13928949.16,38907.68,46112341.31,763427060.87,358.00,4719.00,0.08,0.06,0.02,6.15,2.00,1.00,9.12,148.17,21.43,4.00,1.00,36.27,169.28,10146695.16,2150.18,9177.45,426.82,75586.83,10222281.99,11401248.99,7417.86,19115145.00,4050.68,22711.12,560.67,-7713896.01
nov-13,13144385.06,41861.10,46112341.31,771683548.27,314.00,4766.00,0.07,0.06,0.02,6.63,2.00,1.00,9.47,142.78,23.93,5.00,2.00,38.00,158.81,5081089.03,1066.11,6302.20,591.14,36905.46,5117994.49,5747824.64,8477.62,13243489.00,2778.74,18077.32,650.56,-7495664.36
dic-13,12751230.15,44898.70,46013257.92,779389927.06,284.00,4815.00,0.06,0.06,0.02,7.06,2.00,1.00,9.77,138.44,25.85,6.00,3.00,39.02,150.96,9974772.81,2071.60,6695.52,323.20,85371.62,10060144.43,11360475.29,7989.08,17657012.40,3667.08,17784.72,484.98,-6296537.11
ene-14,13064794.08,42695.41,38576629.41,774794765.82,306.00,4810.00,0.06,0.05,0.02,6.84,2.00,1.00,9.61,140.44,24.52,5.00,1.00,38.48,156.95,8750497.64,1819.23,5334.97,293.25,71237.24,8821734.88,9845973.97,7181.60,4114284.00,855.36,7511.30,878.14,5731689.97
feb-14,12909520.58,46270.68,36387465.27,776536958.69,279.00,4788.00,0.06,0.05,0.02,7.29,2.00,1.00,9.88,135.46,26.96,8.00,2.00,39.74,147.41,5179039.67,1081.67,5633.59,520.82,38453.36,5217493.03,5692937.32,8144.40,6729036.15,1405.40,8832.70,628.48,-1036098.83
mar-14,12922340.72,41955.65,38625625.62,782512939.72,308.00,4793.00,0.06,0.05,0.02,6.56,2.00,1.00,9.53,145.36,24.07,6.00,1.00,38.06,158.13,8865833.30,1849.75,7518.57,406.46,73245.32,8939078.62,9909323.74,8122.40,14793330.50,3086.44,15719.98,509.32,-4884006.76
abr-14,13296477.68,41681.75,39312367.78,776204138.34,319.00,4765.00,0.07,0.05,0.02,6.53,2.00,1.00,9.48,145.16,23.46,5.00,1.00,37.95,161.78,8962012.14,1880.80,7963.97,423.44,71122.02,9033134.16,10048316.23,7156.92,2593682.00,544.32,5772.32,1060.47,7454634.23
may-14,12992705.00,46073.42,37135820.05,786022015.02,282.00,4797.00,0.06,0.05,0.02,7.18,2.00,1.00,9.89,137.65,26.82,8.00,2.00,39.70,148.01,7243717.71,1510.05,9539.58,631.74,43717.69,7287435.40,7914154.92,9159.90,16956093.65,3534.73,18046.54,510.55,-9041938.73
jun-14,13101053.08,42535.89,41337126.65,781381654.12,308.00,4770.00,0.06,0.05,0.02,6.66,2.00,1.00,9.57,143.77,24.92,6.00,1.00,38.68,155.23,10426598.04,2185.87,10015.41,458.19,71536.26,10498134.30,11791227.10,8507.38,5747886.00,1205.01,10980.43,911.23,6043341.10
